ID,Data,Nivel_de_conhecimento,Nota,Conteudo_abordado,Didatica_do_professor,Material_de_apoio,Espaco_do_evento,Comentario_geral
27,2025-03-15,Conhecimento avançado,4,DAX e Power Query,Intermediária,Exercícios práticos,Confortável,"Adorei o conteúdo, mas gostaria de mais tempo para perguntas."
28,2025-03-15,Conhecimento avançado,4,Conectando fontes de dados,Confusa,Slides,Muito amplo,"A didática foi ótima, consegui entender tudo que foi falado."
29,2025-03-15,Nenhum conhecimento,5,DAX e Power Query,Clara,Slides,Sem acústica,"Material de apoio muito bom, gostei dos vídeos."
30,2025-03-15,Nenhum conhecimento,3,Modelagem de dados,Confusa,Documentação,Com muitas cadeiras,Fiquei com dúvidas sobre como aplicar alguns conceitos na prática.
31,2025-03-15,Conhecimento básico,3,Introdução ao Power BI,Com muitos exemplos,Vídeos,Pouco ventilado,Achei que a parte de modelagem de dados poderia ser mais prática.
32,2025-03-15,Conhecimento básico,4,Criação de dashboards,Objetiva,Apostila,Confortável,"O material foi bom, mas faltaram mais exemplos práticos."
33,2025-03-15,Conhecimento avançado,3,Introdução ao Power BI,Com muitos exemplos,Slides,Com muitas cadeiras,"O evento foi bom, mas o local não tinha boa acústica."
34,2025-03-15,Conhecimento básico,5,Análise de dados avançada,Confusa,Vídeos,Com muitas cadeiras,Poderiam ter dado mais exemplos práticos de como usar o Power BI no dia a dia.
35,2025-03-15,Nenhum conhecimento,5,DAX e Power Query,Clara,Documentação,Com muitas cadeiras,"O tempo foi suficiente, mas eu gostaria de mais exemplos ao vivo."
36,2025-03-15,Conhecimento avançado,1,Criação de dashboards,Com muitos exemplos,Apostila,Com muitas cadeiras,"O professor tem boa experiência, mas a aula poderia ser mais interativa."
37,2025-03-15,Nenhum conhecimento,3,Criação de dashboards,Intermediária,Apostila,Pouco ventilado,"A parte sobre Power Query foi interessante, mas poderia ser mais prática."
38,2025-03-15,Conhecimento avançado,4,Modelagem de dados,Clara,Documentação,Pouco ventilado,"A parte prática foi a melhor, espero que tenha mais exercícios no futuro."
39,2025-03-15,Conhecimento básico,1,Modelagem de dados,Com muitos exemplos,Documentação,Com muitas cadeiras,"O espaço poderia ser mais ventilado, estava quente."
40,2025-03-15,Conhecimento avançado,5,Introdução ao Power BI,Intermediária,Slides,Muito amplo,A interação com os participantes poderia ser maior.
41,2025-03-15,Conhecimento básico,3,DAX e Power Query,Com muitos exemplos,Apostila,Confortável,"A parte prática foi a melhor, espero que tenha mais exercícios no futuro."
42,2025-03-15,Conhecimento avançado,2,Modelagem de dados,Objetiva,Exercícios práticos,Muito amplo,"O evento foi ótimo, mas o local poderia ter mais espaço."
43,2025-03-15,Conhecimento avançado,3,Conectando fontes de dados,Confusa,Documentação,Sem acústica,"O material de apoio foi claro, mas faltou mais exemplos práticos."
44,2025-03-15,Nenhum conhecimento,5,DAX e Power Query,Objetiva,Exercícios práticos,Sem acústica,"O material foi bom, mas faltaram mais exemplos práticos."
45,2025-03-15,Conhecimento avançado,4,Introdução ao Power BI,Intermediária,Apostila,Confortável,Eu gostaria de mais explicações sobre Power Query.
46,2025-03-15,Conhecimento básico,1,Criação de dashboards,Confusa,Documentação,Sem acústica,"Professor excelente, mas o conteúdo foi muito básico."
47,2025-03-15,Conhecimento avançado,2,Conectando fontes de dados,Clara,Vídeos,Sem acústica,"O professor foi ótimo, mas o material de apoio não estava tão claro."
48,2025-03-15,Conhecimento básico,5,Introdução ao Power BI,Com muitos exemplos,Vídeos,Sem acústica,Eu gostaria que o professor tivesse feito mais demonstrações ao vivo.
49,2025-03-15,Conhecimento avançado,3,Análise de dados avançada,Objetiva,Exercícios práticos,Sem acústica,"O evento foi interessante, mas o professor poderia ter envolvido mais os participantes."
50,2025-03-15,Conhecimento avançado,1,DAX e Power Query,Intermediária,Vídeos,Sem acústica,Faltou mais tempo para perguntas e interação com o público.
51,2025-03-15,Nenhum conhecimento,3,Conectando fontes de dados,Confusa,Apostila,Confortável,"Eu esperava mais sobre Power BI Desktop, mas o evento foi bom."
52,2025-03-15,Conhecimento básico,2,Conectando fontes de dados,Clara,Exercícios práticos,Pouco ventilado,"Achei o ritmo do evento bom, mas o conteúdo poderia ser mais avançado."
53,2025-03-15,Conhecimento básico,4,Criação de dashboards,Clara,Slides,Sem acústica,Gostei muito de como o professor explicou os conceitos complexos de forma simples.
54,2025-03-15,Nenhum conhecimento,4,Modelagem de dados,Objetiva,Documentação,Muito amplo,"O conteúdo sobre Power Query foi bom, mas poderia ter mais exemplos."
55,2025-03-15,Conhecimento avançado,2,Introdução ao Power BI,Confusa,Slides,Muito amplo,"O evento foi bom, mas o local não tinha boa acústica."
56,2025-03-15,Nenhum conhecimento,2,Introdução ao Power BI,Com muitos exemplos,Documentação,Pouco ventilado,Faltou mais exemplos práticos no material.
57,2025-03-15,Conhecimento avançado,2,Análise de dados avançada,Objetiva,Slides,Muito amplo,"O espaço poderia ser mais ventilado, estava quente."
58,2025-03-15,Conhecimento avançado,3,Introdução ao Power BI,Com muitos exemplos,Apostila,Sem acústica,"Gostei bastante da palestra, mas a acústica poderia ser melhor."
59,2025-03-15,Conhecimento avançado,3,Criação de dashboards,Objetiva,Exercícios práticos,Muito amplo,"A interação durante a palestra foi boa, mas faltou mais práticas."
60,2025-03-15,Conhecimento avançado,2,Criação de dashboards,Clara,Slides,Com muitas cadeiras,"O evento foi bem planejado, mas o tempo para perguntas foi limitado."
61,2025-03-15,Nenhum conhecimento,4,Análise de dados avançada,Intermediária,Documentação,Confortável,"O conteúdo sobre DAX foi excelente, muito bem explicado."
62,2025-03-15,Nenhum conhecimento,3,Modelagem de dados,Intermediária,Documentação,Muito amplo,"O espaço foi confortável, mas a iluminação poderia ser melhor."
63,2025-03-15,Conhecimento avançado,5,Análise de dados avançada,Intermediária,Documentação,Com muitas cadeiras,"O material de apoio foi muito útil, mas achei os vídeos muito rápidos."
64,2025-03-15,Conhecimento avançado,2,Criação de dashboards,Confusa,Slides,Confortável,"Professor excelente, mas o conteúdo foi muito básico."
65,2025-03-15,Conhecimento avançado,3,Introdução ao Power BI,Clara,Slides,Muito amplo,"O evento atendeu às minhas expectativas, mas o conteúdo poderia ser mais detalhado."
66,2025-03-15,Conhecimento avançado,4,Modelagem de dados,Confusa,Documentação,Sem acústica,A parte de visualização de dados foi bem interessante.
67,2025-03-15,Conhecimento avançado,2,Conectando fontes de dados,Com muitos exemplos,Slides,Confortável,Faltou mais tempo de prática para fixar o conteúdo.
68,2025-03-15,Conhecimento básico,2,Análise de dados avançada,Com muitos exemplos,Apostila,Com muitas cadeiras,"Professor excelente, mas o conteúdo foi muito básico."
69,2025-03-15,Conhecimento avançado,4,Modelagem de dados,Com muitos exemplos,Exercícios práticos,Sem acústica,Tive dificuldade para entender algumas partes sobre Power Query.
70,2025-03-15,Nenhum conhecimento,3,Introdução ao Power BI,Clara,Apostila,Com muitas cadeiras,Eu adoraria ver um módulo mais avançado sobre DAX.
71,2025-03-15,Conhecimento avançado,4,Introdução ao Power BI,Com muitos exemplos,Apostila,Muito amplo,A parte de visualização de dados foi bem interessante.
72,2025-03-15,Nenhum conhecimento,5,Introdução ao Power BI,Confusa,Documentação,Com muitas cadeiras,"O conteúdo foi interessante, mas muito teórico."
73,2025-03-15,Conhecimento básico,3,DAX e Power Query,Com muitos exemplos,Exercícios práticos,Sem acústica,"Gostei bastante dos exemplos, mas o conteúdo poderia ser mais detalhado."
74,2025-03-15,Conhecimento avançado,4,Introdução ao Power BI,Objetiva,Apostila,Pouco ventilado,Achei que o conteúdo foi bem organizado.
75,2025-03-15,Nenhum conhecimento,5,Introdução ao Power BI,Intermediária,Apostila,Muito amplo,"Adorei o conteúdo, mas gostaria de mais tempo para perguntas."
76,2025-03-15,Nenhum conhecimento,4,Criação de dashboards,Com muitos exemplos,Exercícios práticos,Muito amplo,"O professor tem boa experiência, mas a aula poderia ser mais interativa."
77,2025-03-15,Nenhum conhecimento,5,Criação de dashboards,Confusa,Slides,Pouco ventilado,"Muito bom, aprendi conceitos novos que eu não sabia."
78,2025-03-15,Conhecimento avançado,3,Conectando fontes de dados,Confusa,Exercícios práticos,Sem acústica,Poderiam ter dado mais exemplos práticos de como usar o Power BI no dia a dia.
79,2025-03-15,Conhecimento básico,4,DAX e Power Query,Clara,Apostila,Sem acústica,"A parte de DAX foi bem explicada, mas o material poderia ser mais completo."
80,2025-03-15,Nenhum conhecimento,1,Criação de dashboards,Confusa,Apostila,Sem acústica,"Gostei dos slides, mas os vídeos poderiam ter sido mais explicativos."
81,2025-03-15,Conhecimento básico,1,Conectando fontes de dados,Intermediária,Vídeos,Confortável,Fiquei um pouco perdido na parte de modelagem de dados.
82,2025-03-15,Conhecimento avançado,2,Conectando fontes de dados,Confusa,Apostila,Pouco ventilado,"O evento foi bom, mas o local não ajudou muito na acústica."
83,2025-03-15,Conhecimento avançado,1,Conectando fontes de dados,Com muitos exemplos,Vídeos,Pouco ventilado,"O evento foi bom, mas a parte de Power Query foi um pouco confusa."
84,2025-03-15,Conhecimento básico,2,Modelagem de dados,Intermediária,Slides,Com muitas cadeiras,Poderiam ter dado mais tempo para perguntas no final.
85,2025-03-15,Conhecimento básico,5,Conectando fontes de dados,Objetiva,Documentação,Com muitas cadeiras,"A explicação sobre visualizações foi muito boa, mas eu gostaria de mais exemplos práticos."
86,2025-03-15,Nenhum conhecimento,4,Análise de dados avançada,Intermediária,Documentação,Muito amplo,A parte de visualização de dados foi bem interessante.
87,2025-03-15,Conhecimento avançado,3,Introdução ao Power BI,Clara,Vídeos,Com muitas cadeiras,"Espaço muito confortável, mas a acústica precisa melhorar."
88,2025-03-15,Conhecimento avançado,4,Criação de dashboards,Clara,Apostila,Com muitas cadeiras,"Adorei o conteúdo, mas gostaria de mais tempo para perguntas."
89,2025-03-15,Nenhum conhecimento,1,Análise de dados avançada,Intermediária,Vídeos,Sem acústica,"Gostei do evento, mas achei que o professor poderia interagir mais com a turma."
90,2025-03-15,Conhecimento avançado,4,Criação de dashboards,Objetiva,Apostila,Com muitas cadeiras,"O evento foi bem planejado, mas o tempo para perguntas foi limitado."
91,2025-03-15,Conhecimento básico,2,Conectando fontes de dados,Com muitos exemplos,Slides,Confortável,Eu adoraria ver um módulo mais avançado sobre DAX.
92,2025-03-15,Nenhum conhecimento,4,DAX e Power Query,Clara,Slides,Muito amplo,"O evento foi bem planejado, mas o tempo para perguntas foi limitado."
93,2025-03-15,Conhecimento avançado,3,Introdução ao Power BI,Com muitos exemplos,Vídeos,Muito amplo,"O evento foi interessante, mas o professor poderia ter envolvido mais os participantes."
94,2025-03-15,Conhecimento avançado,4,Modelagem de dados,Objetiva,Exercícios práticos,Com muitas cadeiras,Acho que poderia ter tido mais interação durante as explicações.
95,2025-03-15,Conhecimento avançado,5,Criação de dashboards,Objetiva,Exercícios práticos,Muito amplo,"A explicação sobre visualizações foi muito boa, mas eu gostaria de mais exemplos práticos."
96,2025-03-15,Conhecimento básico,3,Introdução ao Power BI,Intermediária,Vídeos,Muito amplo,"O material de apoio foi claro, mas faltou mais exemplos práticos."
97,2025-03-15,Nenhum conhecimento,5,Análise de dados avançada,Objetiva,Slides,Muito amplo,"Eu esperava mais sobre Power BI Desktop, mas o evento foi bom."
98,2025-03-15,Conhecimento avançado,4,Criação de dashboards,Clara,Vídeos,Muito amplo,"O espaço foi confortável, mas a iluminação poderia ser melhor."
99,2025-03-15,Conhecimento avançado,5,Conectando fontes de dados,Objetiva,Documentação,Sem acústica,A palestra foi confusa em alguns momentos.
100,2025-03-15,Nenhum conhecimento,1,Modelagem de dados,Com muitos exemplos,Slides,Pouco ventilado,"O conteúdo sobre Power Query foi bom, mas poderia ter mais exemplos."
101,2025-03-15,Conhecimento avançado,3,Modelagem de dados,Confusa,Exercícios práticos,Confortável,As explicações sobre visualizações de dados foram muito boas.
102,2025-03-15,Conhecimento básico,1,Conectando fontes de dados,Clara,Exercícios práticos,Sem acústica,Tive dificuldade para entender algumas partes sobre Power Query.
103,2025-03-15,Conhecimento básico,4,Análise de dados avançada,Intermediária,Exercícios práticos,Confortável,"Gostei bastante da palestra, mas a acústica poderia ser melhor."
104,2025-03-15,Nenhum conhecimento,2,DAX e Power Query,Clara,Apostila,Muito amplo,Achei o tempo de palestra bem adequado.
105,2025-03-15,Conhecimento básico,3,Criação de dashboards,Com muitos exemplos,Apostila,Sem acústica,"Achei que a quantidade de conteúdo foi boa, mas o ritmo estava um pouco rápido."
106,2025-03-15,Nenhum conhecimento,1,Introdução ao Power BI,Clara,Apostila,Pouco ventilado,A palestra foi confusa em alguns momentos.
107,2025-03-15,Conhecimento básico,5,Introdução ao Power BI,Clara,Slides,Muito amplo,Eu adoraria ver um módulo mais avançado sobre DAX.
108,2025-03-15,Nenhum conhecimento,1,Análise de dados avançada,Com muitos exemplos,Apostila,Pouco ventilado,Achei que a parte de modelagem de dados poderia ser mais prática.
109,2025-03-15,Nenhum conhecimento,1,Análise de dados avançada,Confusa,Documentação,Muito amplo,"Excelente didática, fácil de entender."
110,2025-03-15,Conhecimento avançado,1,DAX e Power Query,Objetiva,Slides,Confortável,Gostei muito dos exemplos práticos apresentados.
111,2025-03-15,Conhecimento avançado,1,Análise de dados avançada,Objetiva,Apostila,Muito amplo,"A parte sobre Power Query foi interessante, mas poderia ser mais prática."
112,2025-03-15,Conhecimento avançado,2,Introdução ao Power BI,Objetiva,Exercícios práticos,Pouco ventilado,O evento poderia ser mais longo para abordar mais tópicos.
113,2025-03-15,Conhecimento básico,3,Criação de dashboards,Intermediária,Apostila,Com muitas cadeiras,"O conteúdo sobre DAX foi excelente, muito bem explicado."
114,2025-03-15,Conhecimento avançado,5,Conectando fontes de dados,Intermediária,Vídeos,Confortável,"Excelente didática, fácil de entender."
115,2025-03-15,Conhecimento básico,1,DAX e Power Query,Confusa,Apostila,Muito amplo,"Muito bom, só faltaram mais exemplos sobre integração com outras ferramentas."
116,2025-03-15,Conhecimento avançado,2,Análise de dados avançada,Clara,Vídeos,Pouco ventilado,As explicações sobre visualizações de dados foram muito boas.
117,2025-03-15,Conhecimento básico,5,Conectando fontes de dados,Confusa,Apostila,Com muitas cadeiras,"O evento foi muito bom, aprendi bastante, mas o espaço estava muito quente."
118,2025-03-15,Conhecimento avançado,5,Introdução ao Power BI,Com muitos exemplos,Exercícios práticos,Confortável,"Adorei o conteúdo, mas gostaria de mais tempo para perguntas."
119,2025-03-15,Conhecimento básico,5,Análise de dados avançada,Objetiva,Documentação,Confortável,Gostei muito dos exemplos práticos apresentados.
120,2025-03-15,Nenhum conhecimento,5,DAX e Power Query,Com muitos exemplos,Documentação,Sem acústica,Achei que o conteúdo poderia ser mais aprofundado.
121,2025-03-15,Conhecimento básico,2,Criação de dashboards,Com muitos exemplos,Apostila,Sem acústica,Eu adoraria ver um módulo mais avançado sobre DAX.
122,2025-03-15,Conhecimento avançado,4,DAX e Power Query,Confusa,Vídeos,Muito amplo,O evento poderia ser mais longo para abordar mais tópicos.
123,2025-03-15,Nenhum conhecimento,3,Introdução ao Power BI,Intermediária,Slides,Sem acústica,Eu gostaria de mais explicações sobre Power Query.
124,2025-03-15,Conhecimento básico,5,Modelagem de dados,Com muitos exemplos,Slides,Confortável,Achei o tempo de palestra bem adequado.
125,2025-03-15,Conhecimento avançado,5,Introdução ao Power BI,Clara,Documentação,Sem acústica,"O professor foi ótimo, mas o material de apoio não estava tão claro."
126,2025-03-15,Nenhum conhecimento,3,Conectando fontes de dados,Objetiva,Slides,Muito amplo,"O evento foi interessante, mas o professor poderia ter envolvido mais os participantes."
127,2025-03-15,Nenhum conhecimento,2,Análise de dados avançada,Intermediária,Apostila,Sem acústica,Eu gostaria de mais explicações sobre Power Query.
128,2025-03-15,Conhecimento básico,3,Conectando fontes de dados,Com muitos exemplos,Exercícios práticos,Sem acústica,"Muito bom, aprendi conceitos novos que eu não sabia."
129,2025-03-15,Nenhum conhecimento,1,Introdução ao Power BI,Confusa,Exercícios práticos,Sem acústica,Achei que o conteúdo poderia ser mais aprofundado.
130,2025-03-15,Nenhum conhecimento,4,Modelagem de dados,Intermediária,Apostila,Com muitas cadeiras,A palestra foi confusa em alguns momentos.
131,2025-03-15,Conhecimento básico,4,DAX e Power Query,Confusa,Vídeos,Confortável,Fiquei com dúvidas sobre como aplicar alguns conceitos na prática.
132,2025-03-15,Conhecimento básico,5,Criação de dashboards,Com muitos exemplos,Slides,Muito amplo,"A didática foi ótima, consegui entender tudo que foi falado."
133,2025-03-15,Conhecimento avançado,3,Modelagem de dados,Intermediária,Slides,Pouco ventilado,"O espaço poderia ser mais ventilado, estava quente."
134,2025-03-15,Nenhum conhecimento,5,Conectando fontes de dados,Confusa,Apostila,Confortável,Fiquei um pouco perdido na parte de modelagem de dados.
135,2025-03-15,Conhecimento avançado,4,Conectando fontes de dados,Confusa,Documentação,Confortável,"Gostei dos exemplos, mas acho que poderiam ser mais realistas."
136,2025-03-15,Conhecimento avançado,4,Introdução ao Power BI,Clara,Apostila,Sem acústica,Achei que o evento foi muito bem organizado.
137,2025-03-15,Conhecimento básico,4,DAX e Power Query,Confusa,Slides,Sem acústica,"O conteúdo sobre DAX foi excelente, muito bem explicado."
138,2025-03-15,Conhecimento básico,5,Conectando fontes de dados,Com muitos exemplos,Documentação,Confortável,"Gostei dos slides, mas os vídeos poderiam ter sido mais explicativos."
139,2025-03-15,Conhecimento avançado,3,Criação de dashboards,Intermediária,Apostila,Sem acústica,"O professor foi muito didático, mas o local do evento não ajudou."
140,2025-03-15,Nenhum conhecimento,4,DAX e Power Query,Clara,Documentação,Sem acústica,"Ótima palestra, aprendi muito!"
141,2025-03-15,Nenhum conhecimento,1,Conectando fontes de dados,Clara,Apostila,Com muitas cadeiras,Fiquei um pouco perdido na parte de modelagem de dados.
142,2025-03-15,Conhecimento básico,1,Análise de dados avançada,Intermediária,Vídeos,Confortável,Faltou mais tempo para perguntas e interação com o público.
143,2025-03-15,Nenhum conhecimento,3,Modelagem de dados,Confusa,Documentação,Com muitas cadeiras,"Eu esperava mais sobre Power BI Desktop, mas o evento foi bom."
144,2025-03-15,Conhecimento básico,5,Modelagem de dados,Intermediária,Exercícios práticos,Confortável,Gostei muito de como o professor explicou os conceitos complexos de forma simples.
145,2025-03-15,Conhecimento básico,1,Criação de dashboards,Intermediária,Exercícios práticos,Pouco ventilado,"O material de apoio foi muito útil, mas achei os vídeos muito rápidos."
146,2025-03-15,Nenhum conhecimento,1,Introdução ao Power BI,Objetiva,Apostila,Confortável,"O evento foi muito bom, aprendi bastante, mas o espaço estava muito quente."
147,2025-03-15,Conhecimento básico,3,Criação de dashboards,Clara,Slides,Muito amplo,Achei que o evento foi muito bem organizado.
148,2025-03-15,Conhecimento básico,4,Análise de dados avançada,Objetiva,Slides,Muito amplo,"O evento foi interessante, mas o professor poderia ter envolvido mais os participantes."
149,2025-03-15,Conhecimento básico,1,Modelagem de dados,Objetiva,Apostila,Pouco ventilado,"Professor excelente, mas o conteúdo foi muito básico."
150,2025-03-15,Conhecimento avançado,4,Modelagem de dados,Com muitos exemplos,Vídeos,Confortável,A interação com os participantes poderia ser maior.
151,2025-03-15,Conhecimento básico,1,Modelagem de dados,Clara,Apostila,Pouco ventilado,O espaço estava bem organizado e confortável.
152,2025-03-15,Nenhum conhecimento,5,Análise de dados avançada,Intermediária,Documentação,Com muitas cadeiras,"Achei que a quantidade de conteúdo foi boa, mas o ritmo estava um pouco rápido."
153,2025-03-15,Nenhum conhecimento,2,Introdução ao Power BI,Intermediária,Exercícios práticos,Sem acústica,"A didática foi ótima, consegui entender tudo que foi falado."
154,2025-03-15,Conhecimento básico,3,Criação de dashboards,Com muitos exemplos,Documentação,Muito amplo,Fiquei com dúvidas sobre como aplicar alguns conceitos na prática.
155,2025-03-15,Nenhum conhecimento,3,Análise de dados avançada,Clara,Exercícios práticos,Muito amplo,"O evento foi ótimo, mas o local poderia ter mais espaço."
156,2025-03-15,Conhecimento básico,3,Introdução ao Power BI,Intermediária,Slides,Confortável,"Material de apoio muito bom, gostei dos vídeos."
157,2025-03-15,Conhecimento básico,1,Introdução ao Power BI,Confusa,Vídeos,Com muitas cadeiras,"O espaço era confortável, mas o local estava muito quente."
158,2025-03-15,Conhecimento avançado,3,Introdução ao Power BI,Objetiva,Slides,Confortável,"O evento foi bom, mas o local não ajudou muito na acústica."
159,2025-03-15,Nenhum conhecimento,3,Análise de dados avançada,Confusa,Slides,Com muitas cadeiras,"Espaço muito confortável, mas a acústica precisa melhorar."
160,2025-03-15,Conhecimento avançado,1,Criação de dashboards,Confusa,Apostila,Sem acústica,Fiquei um pouco perdido no conteúdo sobre modelagem de dados.
161,2025-03-15,Conhecimento básico,2,Criação de dashboards,Com muitos exemplos,Apostila,Sem acústica,"O evento foi bom, mas a parte de Power Query foi um pouco confusa."
162,2025-03-15,Nenhum conhecimento,5,Análise de dados avançada,Objetiva,Apostila,Sem acústica,"A didática foi ótima, consegui entender tudo que foi falado."
163,2025-03-15,Conhecimento avançado,4,DAX e Power Query,Objetiva,Exercícios práticos,Sem acústica,Muito bom! Poderiam ter abordado mais sobre DAX.
164,2025-03-15,Nenhum conhecimento,4,Introdução ao Power BI,Objetiva,Apostila,Sem acústica,Gostei muito dos exemplos práticos apresentados.
165,2025-03-15,Conhecimento básico,5,Análise de dados avançada,Com muitos exemplos,Slides,Pouco ventilado,"Professor excelente, mas o conteúdo foi muito básico."
166,2025-03-15,Conhecimento básico,3,Criação de dashboards,Clara,Vídeos,Muito amplo,O evento poderia ser mais longo para abordar mais tópicos.
167,2025-03-15,Conhecimento básico,2,DAX e Power Query,Com muitos exemplos,Exercícios práticos,Sem acústica,As explicações sobre visualizações de dados foram muito boas.
168,2025-03-15,Conhecimento avançado,3,Conectando fontes de dados,Objetiva,Slides,Confortável,"A parte de DAX foi muito interessante, mas achei que poderia ser mais prática."
169,2025-03-15,Conhecimento básico,2,Conectando fontes de dados,Objetiva,Exercícios práticos,Com muitas cadeiras,"A parte de DAX foi muito interessante, mas achei que poderia ser mais prática."
170,2025-03-15,Nenhum conhecimento,5,Análise de dados avançada,Intermediária,Documentação,Muito amplo,"Eu esperava mais sobre Power BI Desktop, mas o evento foi bom."
171,2025-03-15,Conhecimento avançado,4,Conectando fontes de dados,Com muitos exemplos,Documentação,Muito amplo,"O evento foi interessante, mas o professor poderia ter envolvido mais os participantes."
172,2025-03-15,Nenhum conhecimento,2,Introdução ao Power BI,Objetiva,Exercícios práticos,Pouco ventilado,Achei que o conteúdo foi bem organizado.
173,2025-03-15,Conhecimento básico,3,Modelagem de dados,Intermediária,Apostila,Pouco ventilado,"Conteúdo bom, mas poderia ser mais aprofundado."
174,2025-03-15,Conhecimento básico,5,Criação de dashboards,Com muitos exemplos,Apostila,Pouco ventilado,O espaço estava bem organizado e confortável.
175,2025-03-15,Conhecimento avançado,1,DAX e Power Query,Com muitos exemplos,Vídeos,Pouco ventilado,"O evento foi bem planejado, mas o tempo para perguntas foi limitado."
176,2025-03-15,Conhecimento básico,2,Criação de dashboards,Confusa,Documentação,Sem acústica,"O evento foi bom, mas o local não ajudou muito na acústica."
177,2025-03-15,Nenhum conhecimento,3,Análise de dados avançada,Com muitos exemplos,Apostila,Confortável,"O professor foi ótimo, mas o espaço não ajudou muito."
178,2025-03-15,Conhecimento básico,4,Análise de dados avançada,Clara,Apostila,Pouco ventilado,"O tempo foi suficiente, mas eu gostaria de mais exemplos ao vivo."
179,2025-03-15,Nenhum conhecimento,1,Modelagem de dados,Confusa,Slides,Pouco ventilado,"O material de apoio foi muito útil, mas achei os vídeos muito rápidos."
