id;gender;age;state;candidate
172;F;42;MT;Violet Brown
173;M;69;NJ;Violet Brown
174;M;21;VA;Violet Brown
175;M;70;ID;John Green
176;F;39;DE;John Green
177;M;56;MO;Violet Brown
178;F;59;NH;John Green
179;F;39;VT;John Green
180;F;57;PA;Violet Brown
181;M;34;VA;John Green
182;M;49;NM;Violet Brown
183;F;30;ND;Violet Brown
184;F;25;HI;Violet Brown
185;F;40;AZ;John Green
186;M;52;SD;John Green
187;F;62;IL;Violet Brown
188;M;46;MA;Violet Brown
189;F;19;VT;Violet Brown
190;F;19;NM;Violet Brown
191;F;46;MT;Violet Brown
192;M;60;MD;Violet Brown
193;F;51;NM;John Green
194;F;55;MT;Violet Brown
195;F;22;AL;John Green
196;F;42;CO;Violet Brown
197;M;34;OH;John Green
198;M;37;NV;John Green
199;F;22;MO;Violet Brown
200;M;68;NV;Violet Brown
201;F;29;NC;Violet Brown
202;F;39;NJ;Violet Brown
203;F;28;OR;Violet Brown
204;M;41;TN;Violet Brown
205;M;31;MA;Violet Brown
206;M;58;NJ;Violet Brown
207;F;34;ND;Violet Brown
208;F;47;IL;Violet Brown
209;F;19;OK;John Green
210;F;29;ND;Violet Brown
211;M;62;CT;John Green
212;M;35;MO;Violet Brown
213;M;19;MN;Violet Brown
214;M;36;VT;Violet Brown
215;M;37;MD;John Green
216;M;59;WI;Violet Brown
217;M;55;IA;Violet Brown
218;F;60;AL;Violet Brown
219;M;65;NM;Violet Brown
220;M;46;KS;John Green
221;F;22;AK;John Green
222;F;45;IA;Violet Brown
223;F;31;IL;Violet Brown
224;M;46;WV;Violet Brown
225;M;46;NH;John Green
226;M;69;NV;Violet Brown
227;F;49;IA;Violet Brown
228;M;18;TN;John Green
229;M;43;IN;Violet Brown
230;F;35;UT;John Green
231;M;56;MS;Violet Brown
232;M;70;OH;John Green
233;F;54;WY;Violet Brown
234;M;63;NY;Violet Brown
235;F;47;AK;John Green
236;F;36;CT;Violet Brown
237;F;48;RI;Violet Brown
238;M;42;FL;John Green
239;M;43;WI;Violet Brown
240;M;38;CA;Violet Brown
241;F;37;MI;John Green
242;F;21;ND;Violet Brown
243;M;30;CO;Violet Brown
244;M;34;MO;John Green
245;M;20;WI;John Green
246;F;32;NH;Violet Brown
247;M;51;NV;John Green
248;M;28;AL;Violet Brown
249;F;63;NE;John Green
250;M;52;TX;Violet Brown
251;M;45;AZ;Violet Brown
252;M;33;CT;Violet Brown
253;F;64;NY;John Green
254;M;69;MN;John Green
255;M;20;PA;John Green
256;F;20;FL;Violet Brown
257;M;44;CA;John Green
258;F;21;WA;Violet Brown
259;F;69;AK;Violet Brown
260;F;20;KS;Violet Brown
261;F;41;RI;Violet Brown
262;M;58;NM;Violet Brown
263;F;32;WV;John Green
264;M;60;WV;Violet Brown
265;F;53;SC;John Green
266;F;29;DE;John Green
267;F;54;ND;John Green
268;F;51;MO;John Green
269;F;22;MT;Violet Brown
270;M;34;SD;John Green
271;F;56;DE;Violet Brown
272;F;21;NY;Violet Brown
273;F;21;KS;John Green
274;M;49;SD;Violet Brown
275;M;40;ID;Violet Brown
276;F;42;GA;John Green
277;F;31;WI;Violet Brown
278;M;58;MA;John Green
279;M;38;SD;Violet Brown
280;M;18;AK;Violet Brown
281;F;68;LA;Violet Brown
282;F;43;MO;Violet Brown
283;F;51;VA;John Green
284;F;34;MD;Violet Brown
285;F;55;NH;Violet Brown
286;M;50;ME;Violet Brown
287;F;34;CO;Violet Brown
288;F;23;WY;John Green
289;F;57;KS;Violet Brown
290;M;57;FL;Violet Brown
291;F;41;FL;John Green
292;F;63;GA;John Green
293;F;36;NH;John Green
294;F;51;VA;John Green
295;F;56;VA;John Green
296;M;66;NH;Violet Brown
297;M;19;SD;John Green
298;M;46;NE;Violet Brown
299;F;59;NM;Violet Brown
300;M;36;IL;Violet Brown
301;F;32;CO;John Green
302;M;63;MN;John Green
303;F;34;FL;Violet Brown
304;M;61;NC;Violet Brown
305;M;19;NY;Violet Brown
306;M;62;SD;John Green
307;M;20;NM;Violet Brown
308;M;45;IA;John Green
309;F;19;WI;John Green
310;M;69;OH;Violet Brown
311;M;43;IL;John Green
312;F;65;MS;John Green
313;M;36;AL;John Green
314;F;55;GA;John Green
315;F;62;IN;John Green
316;F;30;CT;John Green
317;F;25;AK;John Green
318;M;63;TX;Violet Brown
319;F;53;OK;John Green
320;M;60;SD;Violet Brown
321;M;25;IN;Violet Brown
322;M;67;AZ;Violet Brown
323;F;28;KS;John Green
324;F;53;TX;John Green
325;M;48;WY;Violet Brown
326;F;40;VA;John Green
327;F;69;WY;John Green
328;F;26;WI;John Green
329;F;59;KY;Violet Brown
330;F;62;WY;John Green
331;M;34;MT;John Green
332;M;38;VA;Violet Brown
333;F;38;ND;Violet Brown
334;M;59;OR;John Green
335;F;38;GA;John Green
336;M;46;OK;Violet Brown
337;M;22;MA;Violet Brown
338;F;40;OH;Violet Brown
339;M;66;NV;Violet Brown
340;F;56;MA;Violet Brown
341;M;60;TN;John Green
342;F;66;AR;John Green
343;F;68;SD;Violet Brown
344;F;18;FL;Violet Brown
345;F;29;SD;Violet Brown
346;F;57;CO;Violet Brown
347;M;42;LA;John Green
348;M;20;CA;John Green
349;M;42;FL;John Green
350;F;70;WY;John Green
351;M;40;AZ;Violet Brown
352;M;50;KY;Violet Brown
353;F;55;SD;Violet Brown
354;F;60;OR;Violet Brown
355;F;70;WI;Violet Brown
356;F;57;NC;Violet Brown
357;M;36;UT;John Green
358;M;68;WI;John Green
359;M;62;AL;Violet Brown
360;M;59;MT;Violet Brown
361;M;22;OR;Violet Brown
362;M;55;ND;John Green
363;F;63;OH;Violet Brown
364;F;47;VA;John Green
365;M;33;PA;Violet Brown
366;M;32;OK;Violet Brown
367;F;19;DE;Violet Brown
368;M;23;OH;Violet Brown
369;F;22;OR;John Green
370;M;44;SD;Violet Brown
371;F;69;NC;Violet Brown
372;M;47;VA;John Green
373;F;32;AZ;Violet Brown
374;F;39;WV;Violet Brown
375;F;70;NC;Violet Brown
376;M;55;ID;John Green
377;M;20;NC;Violet Brown
378;F;61;MS;Violet Brown
379;M;20;NJ;Violet Brown
380;F;43;OR;Violet Brown
381;M;69;MI;John Green
382;M;47;WV;John Green
383;F;33;CT;Violet Brown
384;M;51;VT;John Green
385;F;63;AK;John Green
386;M;46;KS;John Green
387;M;23;RI;Violet Brown
388;M;35;TX;John Green
389;F;46;UT;Violet Brown
390;F;48;CA;Violet Brown
391;M;53;DE;John Green
392;M;70;WV;Violet Brown
393;F;37;MD;John Green
394;M;32;KY;Violet Brown
395;F;37;AL;John Green
396;M;23;TN;John Green
397;F;69;GA;Violet Brown
398;F;43;NJ;Violet Brown
399;M;68;AL;John Green
400;F;58;AR;John Green
401;F;48;WY;Violet Brown
402;F;27;AZ;Violet Brown
403;F;19;ME;Violet Brown
404;F;32;NM;Violet Brown
405;F;67;CA;John Green
406;M;52;TX;Violet Brown
407;F;53;NY;Violet Brown
408;F;56;NM;John Green
409;M;59;VT;Violet Brown
410;M;51;OR;Violet Brown
411;M;35;AR;John Green
412;F;32;NH;John Green
413;M;54;AZ;Violet Brown
414;F;60;FL;Violet Brown
415;F;57;MS;John Green
416;M;63;MS;John Green
417;M;59;ND;John Green
418;F;65;NV;Violet Brown
419;F;66;NV;John Green
420;F;24;AK;John Green
421;F;36;NC;John Green
422;F;56;AR;John Green
423;F;67;HI;John Green
424;F;19;SC;Violet Brown
425;M;43;AZ;John Green
426;F;59;KY;Violet Brown
427;M;29;ID;Violet Brown
428;F;50;MS;John Green
429;F;25;MI;John Green
430;F;35;IL;John Green
431;M;23;NC;Violet Brown
432;F;37;TN;Violet Brown
433;M;30;KY;John Green
434;F;23;MD;John Green
435;M;42;MD;John Green
436;M;28;AZ;John Green
437;M;18;IL;John Green
438;M;37;NE;Violet Brown
439;M;38;PA;John Green
440;F;50;WV;John Green
441;M;31;WV;Violet Brown
442;F;28;MO;Violet Brown
443;F;30;AK;John Green
444;M;45;MT;John Green
445;F;57;NV;John Green
446;F;57;IN;John Green
447;M;53;FL;Violet Brown
448;M;29;CT;John Green
449;M;30;MA;John Green
450;F;19;MA;John Green
451;F;58;UT;John Green
452;M;24;IN;John Green
453;F;66;AR;Violet Brown
454;F;34;IL;Violet Brown
455;M;36;VA;Violet Brown
456;F;67;NH;John Green
457;F;32;CO;Violet Brown
458;M;58;MS;Violet Brown
459;F;58;WV;Violet Brown
460;M;43;ID;Violet Brown
461;F;21;MT;John Green
462;F;19;OR;Violet Brown
463;M;65;FL;John Green
464;M;46;NY;Violet Brown
465;M;37;OR;John Green
466;F;63;MN;Violet Brown
467;F;67;NJ;John Green
468;M;19;FL;John Green
469;F;34;MT;John Green
470;M;56;OR;Violet Brown
471;F;29;PA;Violet Brown
472;F;50;VT;Violet Brown
473;M;33;AR;Violet Brown
474;F;68;NM;Violet Brown
475;M;59;AZ;Violet Brown
476;F;19;RI;John Green
477;M;51;TX;John Green
478;F;57;OK;Violet Brown
479;F;57;MO;John Green
480;M;51;ME;Violet Brown
481;F;66;NC;Violet Brown
482;F;63;ME;John Green
483;F;35;AZ;John Green
484;M;24;ND;John Green
485;F;41;WY;Violet Brown
486;F;43;WA;Violet Brown
487;F;38;MS;John Green
488;M;30;WV;John Green
489;F;61;HI;John Green
490;M;21;NY;John Green
491;F;49;PA;John Green
492;F;56;VT;Violet Brown
493;F;18;MI;John Green
494;F;68;DE;John Green
495;M;63;MD;Violet Brown
496;M;46;MA;John Green
497;F;55;AZ;Violet Brown
498;F;52;FL;John Green
499;M;25;WY;John Green
500;M;64;OH;Violet Brown
501;F;58;IA;John Green
502;M;43;VT;John Green
503;F;26;WY;Violet Brown
504;F;24;TN;Violet Brown
505;F;31;UT;John Green
506;M;44;GA;Violet Brown
507;M;36;CO;John Green
508;M;21;PA;Violet Brown
509;F;24;NM;Violet Brown
510;F;42;SC;John Green
511;F;42;MT;Violet Brown
512;M;33;WY;Violet Brown
513;F;69;IN;Violet Brown
514;M;59;VA;Violet Brown
515;M;47;NY;Violet Brown
516;M;40;DE;Violet Brown
517;M;43;HI;Violet Brown
518;F;53;UT;Violet Brown
519;F;43;VT;Violet Brown
520;F;58;MA;John Green
521;M;29;FL;John Green
522;F;47;VT;John Green
523;F;31;UT;Violet Brown
524;F;63;NE;Violet Brown
525;F;69;WA;Violet Brown
526;F;37;VT;Violet Brown
527;F;48;IA;John Green
528;F;66;PA;John Green
529;F;30;CO;Violet Brown
530;F;48;KS;John Green
531;F;26;ND;Violet Brown
532;M;32;AK;John Green
533;M;51;MS;Violet Brown
534;M;25;VA;Violet Brown
535;M;23;MD;John Green
536;F;68;SD;Violet Brown
537;M;33;CA;Violet Brown
538;M;37;WV;John Green
539;F;50;TX;John Green
540;M;24;ND;John Green
541;F;28;GA;John Green
542;M;49;MS;John Green
543;F;68;CO;John Green
544;F;62;WA;John Green
545;F;36;TN;Violet Brown
546;F;60;NM;Violet Brown
547;F;38;PA;Violet Brown
548;F;29;IL;John Green
549;F;39;MD;Violet Brown
550;M;29;IL;Violet Brown
551;F;26;IL;Violet Brown
552;M;40;MI;John Green
553;M;25;NM;Violet Brown
554;F;20;MN;Violet Brown
555;M;52;WY;Violet Brown
556;M;30;PA;John Green
557;M;56;IL;Violet Brown
558;F;53;VA;Violet Brown
559;F;44;TX;Violet Brown
560;F;59;SC;John Green
561;F;55;CT;Violet Brown
562;M;25;AL;Violet Brown
563;F;30;NV;Violet Brown
564;F;28;TN;Violet Brown
565;M;66;VT;Violet Brown
566;F;64;WY;Violet Brown
567;M;50;OR;John Green
568;F;39;MA;John Green
569;F;52;MA;Violet Brown
570;M;26;WY;John Green
571;M;61;CA;Violet Brown
572;F;33;AL;John Green
573;F;33;KS;John Green
574;F;69;NJ;Violet Brown
575;F;54;ID;Violet Brown
576;M;48;MN;John Green
577;F;48;NH;John Green
578;M;61;TN;John Green
579;F;51;CO;Violet Brown
580;M;30;IA;John Green
581;M;38;TN;John Green
582;F;66;ID;Violet Brown
583;M;33;UT;John Green
584;M;30;ME;John Green
585;F;37;NJ;Violet Brown
586;F;25;AK;John Green
587;M;45;OH;Violet Brown
588;F;43;FL;John Green
589;F;35;WA;Violet Brown
590;M;33;KS;Violet Brown
591;M;39;OK;John Green
592;M;46;NV;Violet Brown
593;F;46;NV;Violet Brown
594;F;60;OH;John Green
595;M;45;AR;John Green
596;M;52;MI;Violet Brown
597;F;66;OH;Violet Brown
598;F;20;PA;Violet Brown
599;F;57;NC;Violet Brown
600;M;43;SD;Violet Brown
601;M;20;ND;John Green
602;M;41;HI;John Green
603;F;20;CA;John Green
604;F;19;IN;John Green
605;M;45;KS;John Green
606;M;53;WI;John Green
607;F;22;VT;Violet Brown
608;F;61;TX;John Green
609;F;24;NJ;Violet Brown
610;M;60;WI;John Green
611;F;40;CT;Violet Brown
612;M;22;IL;Violet Brown
613;F;33;MN;John Green
614;M;33;AR;Violet Brown
615;F;42;IL;Violet Brown
616;F;66;NH;Violet Brown
617;M;37;LA;John Green
618;F;55;WY;John Green
619;F;70;KY;Violet Brown
620;M;60;IL;John Green
621;F;68;HI;John Green
622;M;44;IL;Violet Brown
623;M;24;KS;John Green
624;F;70;OK;John Green
625;M;68;OR;Violet Brown
626;M;54;SC;Violet Brown
627;M;48;NC;John Green
628;F;44;TN;Violet Brown
629;F;49;RI;Violet Brown
630;M;60;CO;Violet Brown
631;M;65;SD;John Green
632;M;35;MA;John Green
633;M;21;CO;Violet Brown
634;F;49;AZ;Violet Brown
635;F;48;CA;Violet Brown
636;F;23;OH;Violet Brown
637;M;67;IL;Violet Brown
638;F;26;NC;John Green
639;M;57;VA;Violet Brown
640;F;46;HI;Violet Brown
641;F;58;IN;John Green
642;M;51;AK;Violet Brown
643;F;32;NJ;John Green
644;M;46;MI;John Green
645;M;19;ID;John Green
646;M;35;OR;Violet Brown
647;M;31;KY;John Green
648;M;70;OK;Violet Brown
649;F;27;WI;Violet Brown
650;F;70;AZ;Violet Brown
651;M;28;LA;Violet Brown
652;M;53;PA;Violet Brown
653;F;21;ME;Violet Brown
654;M;26;WY;Violet Brown
655;M;34;VA;John Green
656;F;43;CO;John Green
657;F;65;AR;Violet Brown
658;F;45;KY;John Green
659;F;53;WI;John Green
660;M;28;KY;John Green
661;F;28;IA;Violet Brown
662;M;27;SD;Violet Brown
663;F;60;SD;John Green
664;F;25;IA;John Green
665;F;28;OR;John Green
666;F;56;CT;Violet Brown
667;M;65;CO;Violet Brown
668;F;65;GA;John Green
669;F;65;MO;Violet Brown
670;M;49;TX;John Green
671;M;51;WV;John Green
672;F;62;KS;John Green
673;M;30;CT;John Green
674;F;42;NC;Violet Brown
675;F;34;CT;John Green
676;F;26;MT;Violet Brown
677;M;43;PA;Violet Brown
678;F;54;VA;Violet Brown
679;F;36;CO;John Green
680;M;36;NY;John Green
681;M;52;NH;John Green
682;F;69;KY;Violet Brown
683;F;56;AZ;Violet Brown
684;M;47;NY;Violet Brown
685;F;19;WA;John Green
686;M;28;NC;Violet Brown
687;M;39;KS;Violet Brown
688;M;35;OH;Violet Brown
689;F;61;UT;John Green
690;M;18;WI;Violet Brown
691;M;26;ID;John Green
692;M;36;NV;Violet Brown
693;M;51;WY;Violet Brown
694;M;34;ME;Violet Brown
695;F;34;WY;Violet Brown
696;M;48;NJ;John Green
697;F;65;NC;Violet Brown
698;F;38;MS;Violet Brown
699;F;27;LA;John Green
700;F;22;NV;John Green
701;M;36;AL;Violet Brown
702;M;66;MN;John Green
703;M;64;GA;Violet Brown
704;M;27;SD;John Green
705;M;65;ID;John Green
706;F;64;NV;John Green
707;F;60;WA;John Green
708;M;34;MI;Violet Brown
709;M;29;AK;John Green
710;M;40;NV;Violet Brown
711;F;45;WA;Violet Brown
712;M;47;KS;Violet Brown
713;M;70;WY;Violet Brown
714;F;47;MN;Violet Brown
715;F;47;MO;John Green
716;F;46;MT;John Green
717;F;50;CA;John Green
718;F;21;CA;John Green
719;F;52;DE;Violet Brown
720;M;26;NJ;Violet Brown
721;M;20;ME;John Green
722;M;32;NE;Violet Brown
723;F;69;NY;John Green
724;F;53;DE;John Green
725;M;26;WV;Violet Brown
726;F;25;MS;John Green
727;F;31;SC;John Green
728;F;54;OH;John Green
729;F;63;OK;Violet Brown
730;F;35;PA;John Green
731;M;57;MO;Violet Brown
732;F;66;GA;Violet Brown
733;M;60;CA;Violet Brown
734;F;34;ID;Violet Brown
735;F;46;WI;Violet Brown
736;M;29;TX;John Green
737;F;40;IL;John Green
738;F;52;SC;Violet Brown
739;M;31;MD;Violet Brown
740;F;37;RI;John Green
741;M;59;MI;John Green
742;M;37;MA;John Green
743;F;36;TX;John Green
744;F;63;NV;Violet Brown
745;F;58;FL;Violet Brown
746;F;45;IN;John Green
747;F;60;WI;Violet Brown
748;M;64;DE;Violet Brown
749;F;35;MT;Violet Brown
750;F;43;LA;Violet Brown
751;F;57;OH;John Green
752;M;35;CO;John Green
753;M;62;MI;John Green
754;M;20;MS;Violet Brown
755;F;48;ID;Violet Brown
756;M;66;MS;John Green
757;M;48;UT;Violet Brown
758;M;55;WY;John Green
759;M;43;UT;Violet Brown
760;M;41;DE;Violet Brown
761;F;45;NV;Violet Brown
762;F;31;NV;John Green
763;F;46;VT;John Green
764;M;52;WY;Violet Brown
765;F;39;WI;Violet Brown
766;M;65;WY;John Green
767;M;24;KS;John Green
768;M;21;TX;Violet Brown
769;M;31;LA;John Green
770;F;63;MT;John Green
771;F;31;MT;John Green
772;M;30;TN;Violet Brown
773;F;42;AK;Violet Brown
774;M;42;MO;Violet Brown
775;F;54;MS;John Green
776;F;36;UT;Violet Brown
777;F;47;OH;Violet Brown
778;F;48;ND;Violet Brown
779;F;20;MN;Violet Brown
780;F;31;ND;John Green
781;F;27;OR;John Green
782;F;69;TX;Violet Brown
783;M;45;AZ;Violet Brown
784;F;36;MS;John Green
785;M;29;NH;Violet Brown
786;M;49;SC;John Green
787;M;31;WA;Violet Brown
788;F;33;TN;Violet Brown
789;M;67;SD;Violet Brown
790;M;48;AZ;John Green
791;M;60;DE;Violet Brown
792;F;64;CT;John Green
793;F;50;GA;John Green
794;F;31;NH;John Green
795;M;18;NY;Violet Brown
796;F;23;TX;John Green
797;M;54;MN;John Green
798;M;56;MO;Violet Brown
799;F;45;NY;Violet Brown
800;M;45;VA;Violet Brown
801;F;37;MN;John Green
802;M;19;OR;Violet Brown
803;F;21;ME;Violet Brown
804;F;29;DE;Violet Brown
805;M;59;NH;John Green
806;M;46;AK;John Green
807;M;60;IA;John Green
808;F;20;AK;John Green
809;M;27;OH;John Green
810;M;47;SD;Violet Brown
811;F;38;AL;Violet Brown
812;F;27;NV;Violet Brown
813;F;64;NM;John Green
814;M;69;MS;Violet Brown
815;F;57;VT;Violet Brown
816;M;56;MO;Violet Brown
817;F;46;NY;Violet Brown
818;M;52;KS;Violet Brown
819;F;20;NJ;John Green
820;M;39;MS;Violet Brown
821;F;38;MD;John Green
822;F;55;IL;John Green
823;F;43;PA;Violet Brown
824;M;63;IN;Violet Brown
825;F;32;DE;Violet Brown
826;M;18;SD;Violet Brown
827;M;39;FL;John Green
828;F;37;ME;Violet Brown
829;M;41;HI;John Green
830;F;24;MA;Violet Brown
831;M;46;CT;Violet Brown
832;F;52;GA;Violet Brown
833;M;21;AL;John Green
834;F;33;TN;John Green
835;F;35;MO;Violet Brown
836;M;58;LA;Violet Brown
837;F;68;WV;John Green
838;F;32;PA;Violet Brown
839;M;22;OK;Violet Brown
840;F;31;NY;Violet Brown
841;M;64;IL;Violet Brown
842;M;57;VT;John Green
843;F;53;KY;Violet Brown
844;F;40;GA;Violet Brown
845;F;22;ME;John Green
846;M;60;MI;John Green
847;F;34;ND;John Green
848;M;56;VT;Violet Brown
849;F;26;ND;Violet Brown
850;F;63;NM;Violet Brown
851;M;63;MI;John Green
852;M;50;NC;Violet Brown
853;F;70;MA;John Green
854;F;31;VA;Violet Brown
855;M;20;WA;Violet Brown
856;F;64;ID;John Green
857;M;19;OK;John Green
858;F;43;LA;Violet Brown
859;F;57;MS;Violet Brown
860;M;53;WI;Violet Brown
861;F;44;IL;Violet Brown
862;M;42;KY;Violet Brown
863;F;68;WV;Violet Brown
864;M;37;AR;Violet Brown
865;F;59;RI;John Green
866;M;34;KY;Violet Brown
867;F;60;UT;Violet Brown
868;F;20;MS;Violet Brown
869;F;49;NH;Violet Brown
870;F;65;OH;John Green
871;F;56;FL;Violet Brown
872;F;45;WI;Violet Brown
873;F;63;MA;John Green
874;F;25;MN;Violet Brown
875;F;26;KS;Violet Brown
876;M;22;NC;Violet Brown
877;M;33;KS;Violet Brown
878;F;29;IA;Violet Brown
879;M;47;NM;Violet Brown
880;F;44;RI;Violet Brown
881;M;23;DE;Violet Brown
882;F;57;MD;John Green
883;M;58;VA;Violet Brown
884;M;59;LA;John Green
885;F;61;RI;John Green
886;M;59;CO;Violet Brown
887;M;67;PA;John Green
888;M;69;NH;Violet Brown
889;M;69;NC;John Green
890;F;70;AZ;John Green
891;M;40;NE;John Green
892;M;55;OK;Violet Brown
893;F;35;IL;Violet Brown
894;M;40;MS;John Green
895;M;43;IA;John Green
896;M;43;OH;Violet Brown
897;M;40;SD;John Green
898;F;49;WV;John Green
899;M;70;SD;Violet Brown
900;F;44;LA;John Green
901;M;41;NE;Violet Brown
902;M;50;MI;Violet Brown
903;M;64;MD;John Green
904;M;27;ID;Violet Brown
905;F;64;GA;John Green
906;F;19;IN;Violet Brown
907;F;22;CA;Violet Brown
908;M;47;OR;Violet Brown
909;M;35;NV;John Green
910;M;26;FL;Violet Brown
911;M;67;MD;Violet Brown
912;M;26;NM;Violet Brown
913;M;53;MD;Violet Brown
914;M;63;UT;John Green
915;M;68;ME;Violet Brown
916;M;68;NJ;Violet Brown
917;F;41;IL;Violet Brown
918;M;65;NE;John Green
919;M;54;MN;John Green
920;M;44;PA;Violet Brown
921;F;24;TX;Violet Brown
922;F;21;IA;Violet Brown
923;M;66;SD;Violet Brown
924;M;39;KY;John Green
925;M;56;ID;John Green
926;F;63;MD;John Green
927;M;61;TN;Violet Brown
928;M;49;SC;John Green
929;M;47;SC;Violet Brown
930;M;43;AR;Violet Brown
931;M;40;OR;John Green
932;M;29;NH;Violet Brown
933;F;36;NC;John Green
934;F;21;SD;Violet Brown
935;F;28;HI;Violet Brown
936;F;63;ME;Violet Brown
937;M;32;FL;John Green
938;F;64;LA;Violet Brown
939;M;18;AZ;Violet Brown
940;F;20;KS;Violet Brown
941;M;45;WV;Violet Brown
942;F;44;OH;Violet Brown
943;F;61;RI;John Green
944;M;53;NJ;Violet Brown
945;F;55;KY;Violet Brown
946;F;64;TX;John Green
